npi	specialty	taxonomy_code	organization_name	city	state	gender	credentials	claims_2022	beneficiaries_2022	diabetes_share_2022	glp1_penetration_2022	branded_share_2022	drug_diversity_2022	has_tirzepatide_2022	total_payments_2022	novo_nordisk_payments	eli_lilly_payments	has_research_payments	adoption_archetype	pharma_engagement_tier	geo_cluster	network_group	claims_2023	beneficiaries_2023	diabetes_share_2023	glp1_penetration_2023	branded_share_2023	drug_diversity_2023	has_tirzepatide_2023	tirzepatide_claims_2023	part_d_rows_2023	rank_within
1760788293	Family Medicine	207Q00000X	1400 S GRAND AVE	Los Angeles	CA	F	M.D.	518.0	84.0	0.2277992277992278	0.1440677966101695	0.14285714285714285	4	0	52.86	0.0	0.0	0	Conservative_PCP	Low_Engagement	CA_Los_Angeles	1400 S GRAND AVE	534.0	105.0	0.20037453183520598	0.2523364485981308	0.21052631578947367	5	0	0.0	19	1.0
1831456474	Family Medicine	207Q00000X	3255 WILSHIRE BLVD STE 120	Los Angeles	CA	F	M.D.	1008.0	167.0	0.1626984126984127	0.1402439024390244	0.24324324324324326	5	0	202.01999999999998	0.0	22.56	0	Conservative_PCP	Low_Engagement	CA_Los_Angeles	3255 WILSHIRE BLVD STE 120	1054.0	151.0	0.14231499051233396	0.28	0.3055555555555556	5	0	0.0	36	2.0
1922045939	Internal Medicine	207R00000X	8405 BEVERLY BLVD	Los Angeles	CA	M	M.D.	3427.0	838.0	0.18937846512985118	0.13559322033898305	0.2753623188405797	9	0	124.99	0.0	0.0	0	Conservative_PCP	Low_Engagement	CA_Los_Angeles	8405 BEVERLY BLVD	3456.0	916.0	0.2103587962962963	0.19119669876203577	0.2727272727272727	10	0	0.0	66	1.0
1760986889	Family Medicine	207Q00000X	2219 E 1ST ST	Los Angeles	CA	F	MD, MPH	414.0	134.0	0.28502415458937197	0.13559322033898305	0.2631578947368421	7	0	0.0	0.0	0.0	0	Conservative_PCP	Low_Engagement	CA_Los_Angeles	2219 E 1ST ST	860.0	226.0	0.30930232558139537	0.16917293233082706	0.26666666666666666	9	0	0.0	30	3.0
1205196987	Internal Medicine	207R00000X	4733 W SUNSET BLVD FL 3	Los Angeles	CA	M	M.D.	490.0	48.0	0.3081632653061224	0.11258278145695365	0.35	6	0	0.0	0.0	0.0	0	Conservative_PCP	Low_Engagement	CA_Los_Angeles	4733 W SUNSET BLVD FL 3	144.0	11.0	0.13194444444444445	0.0	0.25	1	0	0.0	8	2.0
1003153214	Internal Medicine	207R00000X	200 MED PLAZA	Los Angeles	CA	M	M.D.	748.0	251.0	0.19919786096256684	0.09395973154362416	0.25925925925925924	6	0	760.8	0.0	0.0	0	Conservative_PCP	Low_Engagement	CA_Los_Angeles	200 MED PLAZA	1244.0	309.0	0.19935691318327975	0.31451612903225806	0.23684210526315788	6	0	0.0	38	3.0
1558340034	Internal Medicine	207R00000X	8635 W 3RD ST	Los Angeles	CA	M	M.D.,	10607.0	1941.0	0.1781842179692656	0.4121693121693122	0.4726027397260274	15	0	34022.14999999998	45.93	178.33	0	Early_Adopter_Specialist	High_Pharma_Engagement	CA_Los_Angeles	8635 W 3RD ST	5348.0	1459.0	0.18567688855646972	0.5337361530715005	0.44086021505376344	10	1	142.0	93	1.0
1487932612	Internal Medicine	207R00000X	4816 E 3RD ST	Los Angeles	CA	F	M.D.	1880.0	459.0	0.24521276595744682	0.03470715835140998	0.23809523809523808	10	0	0.0	0.0	0.0	0	Laggard	Low_Engagement	CA_Los_Angeles	4816 E 3RD ST	2496.0	596.0	0.23677884615384615	0.05414551607445008	0.1956521739130435	8	0	0.0	46	1.0
1013913441	Family Medicine	207Q00000X	817 S VERMONT AVE	Los Angeles	CA	M	DO	441.0	33.0	0.1746031746031746	0.0	0.0625	1	0	117.96	0.0	0.0	0	Laggard	Low_Engagement	CA_Los_Angeles	817 S VERMONT AVE	515.0	53.0	0.15728155339805824	0.0	0.15789473684210525	1	0	0.0	19	1.0
1598977407	Endocrinology	207RE0101X	8723 ALDEN DR.	Los Angeles	CA	F	M.D.	912.0	84.0	0.43969298245614036	0.1745635910224439	0.5862068965517241	11	0	26.76	0.0	0.0	0	Mainstream_Specialist	Low_Engagement	CA_Los_Angeles	8723 ALDEN DR.	922.0	98.0	0.4750542299349241	0.21689497716894976	0.5714285714285714	9	0	0.0	28	1.0
1194800094	Endocrinology	207RE0101X	200 MEDICAL PLAZA	Los Angeles	CA	F	MD	2049.0	477.0	0.5768667642752562	0.16412859560067683	0.5405405405405406	14	0	129.85	0.0	11.71	0	Mainstream_Specialist	Low_Engagement	CA_Los_Angeles	200 MEDICAL PLAZA	1759.0	444.0	0.5992040932347925	0.20018975332068312	0.6060606060606061	16	1	23.0	33	2.0
1205153525	Internal Medicine	207R00000X	1701 E CESAR E CHAVEZ AVE	Los Angeles	CA	M	MD MPH	3122.0	580.0	0.17456758488148622	0.13394495412844037	0.358974358974359	13	0	61.36	0.0	0.0	0	Mainstream_Specialist	Low_Engagement	CA_Los_Angeles	1701 E CESAR E CHAVEZ AVE	3549.0	635.0	0.19554804170188786	0.0936599423631124	0.3953488372093023	13	0	0.0	86	1.0
1538180880	Internal Medicine	207R00000X	1025 W OLYMPIC BLVD	Los Angeles	CA	M	M.D	2693.0	667.0	0.19457853694764204	0.12022900763358779	0.27941176470588236	11	0	77.09	0.0	57.09	0	Mainstream_Specialist	Low_Engagement	CA_Los_Angeles	1025 W OLYMPIC BLVD	1083.0	375.0	0.2169898430286242	0.10212765957446808	0.28205128205128205	8	0	0.0	39	2.0
1225056831	Internal Medicine	207R00000X	1520 SAN PABLO ST	Los Angeles	CA	M	M.D.	1389.0	225.0	0.44852411807055437	0.9406099518459069	0.32	3	0	0.0	0.0	0.0	0	Unclassified	Low_Engagement	CA_Los_Angeles	1520 SAN PABLO ST	1194.0	229.0	0.4639865996649916	0.924187725631769	0.3157894736842105	4	1	29.0	19	1.0
1689014466	Internal Medicine	207R00000X	8635 W 3RD ST STE 650W	Los Angeles	CA	F	MD	1066.0	382.0	0.349906191369606	0.41823056300268097	0.36666666666666664	7	1	4846.54	4830.93	0.0	0	Unclassified	Medium_Engagement	CA_Los_Angeles	8635 W 3RD ST STE 650W	380.0	113.0	0.8578947368421053	0.8558282208588958	0.6	3	1	112.0	5	2.0
1215346812	Internal Medicine	207R00000X	5100 W GOLDLEAF CIR FL 2	Los Angeles	CA	M	M.D.	834.0	263.0	0.7517985611510791	0.41467304625199364	0.56	14	1	1342.29	181.63	109.41999999999999	0	Unclassified	Medium_Engagement	CA_Los_Angeles	5100 W GOLDLEAF CIR FL 2	1848.0	454.0	0.7343073593073594	0.45983787767133383	0.5238095238095238	18	1	175.0	42	3.0
1801230297	Family Medicine	207Q00000X	2325 COMMERCIAL ST STE 1400	San Diego	CA	M	M.D.	1093.0	437.0	0.16102470265324795	0.14772727272727273	0.2	4	0	0.0	0.0	0.0	0	Conservative_PCP	Low_Engagement	CA_San_Diego	2325 COMMERCIAL ST STE 1400	463.0	218.0	0.17278617710583152	0.0	0.15789473684210525	2	0	0.0	19	1.0
1356574016	Family Medicine	207Q00000X	200 W ARBOR DR	San Diego	CA	M	MD	687.0	160.0	0.15138282387190685	0.14423076923076922	0.19230769230769232	3	0	0.0	0.0	0.0	0	Conservative_PCP	Low_Engagement	CA_San_Diego	200 W ARBOR DR	1073.0	199.0	0.1435228331780056	0.22727272727272727	0.2727272727272727	3	0	0.0	33	2.0
1134232259	Family Medicine	207Q00000X	5454 EL CAJON BLVD	San Diego	CA	F	MD	1513.0	305.0	0.18572372769332451	0.06405693950177936	0.30434782608695654	9	0	0.0	0.0	0.0	0	Conservative_PCP	Low_Engagement	CA_San_Diego	5454 EL CAJON BLVD	1350.0	294.0	0.10740740740740741	0.13793103448275862	0.2926829268292683	5	0	0.0	41	3.0
